treatment,group,HS,vial,wet.mass,(Intercept),time,slope,adj.slope,mgO2hrg
Humboldt17,Humboldt17,noHS,4,29.9,99.51383887,-0.070470183,0.070470183,-0.079415007,0
Humboldt17,Humboldt17,noHS,14,198.4,100.7672474,-0.159472504,0.159472504,0.009587314,0.202957257
Humboldt17,Humboldt17,noHS,19,139.1,105.1737725,-0.187144193,0.187144193,0.037259003,1.125002236
Humboldt17HS,Humboldt17,HS,4,29.9,42.28626323,-0.334409688,0.334409688,0.184524498,25.91982908
Humboldt17HS,Humboldt17,HS,14,198.4,42.37759197,-0.240450902,0.240450902,0.090565712,1.917217697
Humboldt17HS,Humboldt17,HS,19,139.1,42.28310817,-0.316153026,0.316153026,0.166267836,5.020308484
Morro17,Morro17,noHS,1,417.1,98.06451016,-0.181237689,0.181237689,0.031352499,0.31570486
Morro17,Morro17,noHS,2,140.6,92.65106493,-0.078679964,0.078679964,-0.071205226,0
Morro17,Morro17,noHS,4,182.9,98.75312584,-0.151727089,0.151727089,0.001841899,0.0422962
Morro17,Morro17,noHS,5,23.2,97.25959953,-0.060217316,0.060217316,-0.089667874,0
Morro17,Morro17,noHS,6,386.2,94.50655061,-0.127657388,0.127657388,-0.022227802,0
Morro17,Morro17,noHS,12,18.1,96.54751302,-0.054467699,0.054467699,-0.095417491,0
Morro17,Morro17,noHS,14,98.1,97.07469423,-0.08948466,0.08948466,-0.06040053,0
Morro17,Morro17,noHS,15,125.9,98.49720538,-0.112889726,0.112889726,-0.036995464,0
Morro17,Morro17,noHS,16,184.1,96.91129687,-0.145117347,0.145117347,-0.004767843,0
Morro17,Morro17,noHS,18,139.8,96.8903677,-0.10602017,0.10602017,-0.04386502,0
Morro17,Morro17,noHS,19,52.3,95.30470096,-0.055728075,0.055728075,-0.094157115,0
Morro17HS,Morro17,HS,1,417.1,86.14485482,-0.198608597,0.198608597,0.048723407,0.4906217
Morro17HS,Morro17,HS,2,140.6,78.70988844,-0.16805924,0.16805924,0.01817405,0.5428948
Morro17HS,Morro17,HS,4,182.9,64.14880178,-0.22270789,0.22270789,0.0728227,1.672254449
Morro17HS,Morro17,HS,5,23.2,73.82162344,-0.300858338,0.300858338,0.150973148,27.3313458
Morro17HS,Morro17,HS,6,386.2,81.38529154,-0.391851341,0.391851341,0.241966151,2.631428881
Morro17HS,Morro17,HS,12,18.1,61.19583001,-0.20936871,0.20936871,0.059483519,13.80280562
Morro17HS,Morro17,HS,14,98.1,91.47911296,-0.155712025,0.155712025,0.005826835,0.249466929
Morro17HS,Morro17,HS,15,125.9,92.42796638,-0.163865028,0.163865028,0.013979838,0.466364738
Morro17HS,Morro17,HS,16,184.1,82.05506709,-0.481647713,0.481647713,0.331762523,7.568726763
Morro17HS,Morro17,HS,18,139.8,69.29182917,-0.152318323,0.152318323,0.002433133,0.073098402
Morro17HS,Morro17,HS,19,52.3,74.37931861,-0.367903713,0.367903713,0.218018523,17.50817968
Coos17,Coos17,noHS,2,942.4,93.5313918,-0.487955425,0.487955425,0.338070235,1.506679741
Coos17,Coos17,noHS,11,1079.7,78.5898192,-0.236313484,0.236313484,0.086428294,0.33620342
Coos17HS,Coos17,HS,2,942.4,99.34909689,-0.076128018,0.076128018,-0.073757172,0
Coos17HS,Coos17,HS,11,1079.7,101.4763228,-0.135898205,0.135898205,-0.013986985,0
PtMolate17,PtMolate17,noHS,1,949.2,95.2877787,-0.273103455,0.273103455,0.123218265,0.545213563
PtMolate17,PtMolate17,noHS,2,8511.4,93.50649308,-0.114743679,0.114743679,-0.035141511,0
PtMolate17,PtMolate17,noHS,4,1158.1,97.96658018,-0.309632789,0.309632789,0.159747599,0.579345408
PtMolate17,PtMolate17,noHS,5,857.3,92.08154107,-0.301922878,0.301922878,0.152037688,0.744848118
PtMolate17,PtMolate17,noHS,6,724.2,96.18601345,-0.245171639,0.245171639,0.095286449,0.552614037
PtMolate17,PtMolate17,noHS,7,1506.2,100.2692865,-0.482638372,0.482638372,0.332753182,0.927873697
PtMolate17,PtMolate17,noHS,12,989.2,89.47834555,-0.278304534,0.278304534,0.128419344,0.545249946
PtMolate17,PtMolate17,noHS,14,1338.1,94.09644714,-0.382799048,0.382799048,0.232913858,0.731065095
PtMolate17,PtMolate17,noHS,16,971.8,94.11556046,-0.328570949,0.328570949,0.178685758,0.772257857
PtMolate17,PtMolate17,noHS,18,1470.6,97.8187684,-0.379332006,0.379332006,0.229446816,0.655294865
PtMolate17,PtMolate17,noHS,19,396.1,97.3449921,-0.202951475,0.202951475,0.053066285,0.562682145
PtMolate17,PtMolate17,noHS,22,1418.7,93.62811913,-0.350624325,0.350624325,0.200739135,0.594279529
PtMolate17HS,PtMolate17,HS,1,949.2,94.24210815,-0.171467363,0.171467363,0.021582173,0.095496342
PtMolate17HS,PtMolate17,HS,2,8511.4,94.31418228,-0.142098067,0.142098067,-0.007787123,0
PtMolate17HS,PtMolate17,HS,4,1158.1,82.96736025,-0.158716383,0.158716383,0.008831193,0.032027469
PtMolate17HS,PtMolate17,HS,5,857.3,97.04301198,-0.183590403,0.183590403,0.033705213,0.165125271
PtMolate17HS,PtMolate17,HS,6,724.2,95.49312373,-0.091984598,0.091984598,-0.057900592,0
PtMolate17HS,PtMolate17,HS,7,1506.2,92.1610498,-0.177058853,0.177058853,0.027173662,0.07577306
PtMolate17HS,PtMolate17,HS,12,989.2,95.156386,-0.128235744,0.128235744,-0.021649446,0
PtMolate17HS,PtMolate17,HS,14,1338.1,93.89666209,-0.133941309,0.133941309,-0.015943881,0
PtMolate17HS,PtMolate17,HS,16,971.8,92.56708655,-0.134746399,0.134746399,-0.015138791,0
PtMolate17HS,PtMolate17,HS,18,1470.6,94.24646376,-0.15104457,0.15104457,0.00115938,0.003311162
PtMolate17HS,PtMolate17,HS,19,396.1,95.05417724,-0.171947933,0.171947933,0.022062743,0.233939714
PtMolate17HS,PtMolate17,HS,22,1418.7,92.62196437,-0.093894065,0.093894065,-0.055991125,0
Tomales17,Tomales17,noHS,4,22.5,97.13065366,-0.002715166,0.002715166,-0.015161751,0
Tomales17,Tomales17,noHS,9,115.7,95.68689833,-0.021410982,0.021410982,0.003534065,0.128289304
Tomales17,Tomales17,noHS,11,92.2,99.94826398,-0.036450797,0.036450797,0.01857388,0.846098637
Tomales17,Tomales17,noHS,12,131.8,99.87270962,-0.048255948,0.048255948,0.03037903,0.968072281
Tomales17,Tomales17,noHS,17,351.6,100.2501322,-0.0465114,0.0465114,0.028634483,0.342050133
Tomales17,Tomales17,noHS,22,251,99.91601507,-0.04110819,0.04110819,0.023231272,0.388730453
Tomales17HS,Tomales17,HS,4,22.5,100.668345,-0.020859439,0.020859439,0.002982521,0.556737296
Tomales17HS,Tomales17,HS,9,115.7,99.47647638,-0.020221341,0.020221341,0.002344424,0.085104412
Tomales17HS,Tomales17,HS,11,92.2,102.0090837,-0.035817436,0.035817436,0.017940519,0.817247062
Tomales17HS,Tomales17,HS,12,131.8,95.96895216,-0.258729092,0.258729092,0.240852175,7.675107232
Tomales17HS,Tomales17,HS,17,351.6,103.1633417,-0.018272923,0.018272923,0.000396005,0.00473044
Tomales17HS,Tomales17,HS,22,251,102.9418801,-0.03557225,0.03557225,0.017695332,0.296097196
BayFarm17,BayFarm17,noHS,1,2076.2,91.19810621,-0.332007889,0.332007889,0.314130972,0.635463867
BayFarm17,BayFarm17,noHS,2,1074.4,97.33031895,-0.637044398,0.637044398,0.619167481,2.420423882
BayFarm17,BayFarm17,noHS,4,2005.9,84.9203557,-0.296132791,0.296132791,0.278255874,0.58261861
